Tipo,Titolo,Url,Nascita,Morte
,Giovanni Menozzi,,,
,Gerry O' Glacain,,,
,Mario Rapisardi,https://it.wikipedia.org/wiki/Mario_Rapisardi,,
,Giuseppe Moscato,,,
,Fritz Brügel,https://de.wikipedia.org/wiki/Fritz_Br%C3%BCgel,,
,Renato Carpentieri,https://it.wikipedia.org/wiki/Renato_Carpentieri,,
,Enrico Lipparini,,,
,Livio Gambetti,,,
,Dario Fantozzi,,,
,Carlo Vita,https://it.wikipedia.org/wiki/Carlo_Vita,,
,François-Joseph Gossec,https://it.wikipedia.org/wiki/Fran%C3%A7ois-Joseph_Gossec,,
,Pavel Grigorev,"https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D1%8C%D0%B5%D0%B2,_%D0%9F%D0%B0%D0%B2%D0%B5%D0%BB_%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2%D0%B8%D1%87",,
,Tiziana Oppizzi,,,
,Claudia Fofi,,,
,Michel Fougain,https://it.wikipedia.org/wiki/Michel_Fugain,,
,Eric Bogle,https://it.wikipedia.org/wiki/Eric_Bogle,,
,Eraldo Gastone,https://it.wikipedia.org/wiki/Eraldo_Gastone,,
,Ugo Titta,,,
,Harold Gramatges,https://it.wikipedia.org/wiki/Harold_Gramatges,,
,Vittorio Cao,,,
,Marco Bianchi,,,
,Ernesto Majocchi,,,
,James O' Connel,,,
,José Mário Branco,https://it.wikipedia.org/wiki/Jos%C3%A9_M%C3%A1rio_Branco,,
,Claude Semal,https://fr.wikipedia.org/wiki/Claude_Semal,,
,Mickey McConnell,https://en.wikipedia.org/wiki/Mickey_McConnell,,
,Étienne Nicolas Méhul,https://it.wikipedia.org/wiki/%C3%89tienne-Nicolas_M%C3%A9hul,,
,Garcia y Garcia,,,
,Arricardu Pitau,,,
,E. Saborit,https://es.wikipedia.org/wiki/Eduardo_Saborit,,
,De Marco,,,
,Bruno Falaschi,,,
,Fulvio Bozzetta,,,
,Rivetti,,,
,Bruno Fallani,,,
,Emmanuel D'Astier de la Vigerie,https://it.wikipedia.org/wiki/Emmanuel_d%27Astier_de_La_Vigerie,,
,Franco Rusnati,,,
,Ernesto Venzi,,,
,Félix Vicente Ramos,,,
,Cristiana Milaneschi,,,
